,Candidates,Race,Notes
0,EdwardsJD_19G_Governor,White,
1,RisponeR_19G_Governor,White,
2,GreenupD_19G_SOS,Black,
3,ArdoinR_19G_SOS,White,
4,DantzlerD_19P_Governor,Black,
5,EdwardsJD_19P_Governor,White,
6,LandryPR_19P_Governor,White,
7,RisponeR_19P_Governor,White,
8,AbrahamR_19P_Governor,White,
9,LandrieuI_19P_Governor,White,
10,JonesD_19P_Lt. Governor,Black,
11,NungesserR_19P_Lt. Governor,White,
12,GreenupD_19P_SOS,Black,
13,ArdoinR_19P_SOS,White,
14,KennedyTR_19P_SOS,White,
15,SmithR_19P_SOS,White,
16,JacksonD_19P_AG,Black,
17,LandryJR_19P_AG,White,
18,EdwardsDD_19P_Treasurer,Black,
19,SchroderR_19P_Treasurer,White,
20,KennyNP_19P_Treasurer,White,
21,GreenD_19P_Ag Comm,White,
22,GreerD_19P_Ag Comm,White,
23,WilliamsD_19P_Ag Comm,Black,
24,ZaunbrecherR_19P_Ag Comm,White,
25,StrainR_19P_Ag Comm,White,
26,TempleR_19P_In Comm,White,
27,DonelonR_19P_In Comm,White,
28,GreenupD_18G_SOS,Black,
29,ArdoinR_18G_SOS,White,
30,GreenupD_18P_SOS,White,
31,FreeD_18P_SOS,White,
32,ArdoinR_18P_SOS,White,
33,CloudR_18P_SOS,White,
34,CroweR_18P_SOS,White,
35,EdmondsR_18P_SOS,White,
36,KennedyTR_18P_SOS,White,
37,StokesR_18P_SOS,White,
38,MoreauR_18P_SOS,White,
39,EdwardsDD_17G_Treasurer,Black,
40,SchroderR_17G_Treasurer,White,
41,EdwardsDD_17P_Treasurer,Black,
42,DavisR_17P_Treasurer,White,
43,HughesR_17P_Treasurer,White,
44,RiserR_17P_Treasurer,White,
45,SchroderR_17P_Treasurer,White,
46,LittleL_17P_Treasurer,White,
47,CampbellD_16G_U.S. Senate,White,
48,KennedyJR_16G_U.S. Senate,White,
49,ClintonD_16G_President,White,
50,TrumpR_16G_President,White,
51,CampbellD_16P_U.S. Senate,White,
52,EdwardsDD_16P_U.S. Senate,Black,
53,FayardD_16P_U.S. Senate,White,
54,LandrieuD_16P_U.S. Senate,White,
55,MendozaD_16P_U.S. Senate,Hispanic,
56,PellerinD_16P_U.S. Senate,White,
57,WilliamsD_16P_U.S. Senate,Black,
58,BoustanyR_16P_U.S. Senate,White,
59,CrawfordR_16P_U.S. Senate,White,
60,DukeR_16P_U.S. Senate,White,
61,FlemingR_16P_U.S. Senate,White,
62,KennedyJR_16P_U.S. Senate,White,
63,ManessR_16P_U.S. Senate,White,
64,MarsalaR_16P_U.S. Senate,White,
65,PatelR_16P_U.S. Senate,Other,Indian American
66,BilliotNP_16P_U.S. Senate,Other,American Indian
67,HebertNP_16P_U.S. Senate,White,
68,MaroneNP_16P_U.S. Senate,White,
69,WellsNP_16P_U.S. Senate,White,
70,ClementsL_16P_U.S. Senate,White,
71,GillamL_16P_U.S. Senate,Black,
72,LangO_16P_U.S. Senate,White,
73,TaylorO_16P_U.S. Senate,Black,
74,BurkeD_16P_President,White,
75,ClintonD_16P_President,White,
76,FuenteD_16P_President,Hispanic,
77,HewesD_16P_President,White,
78,JuddD_16P_President,White,
79,O'MalleyD_16P_President,White,
80,SandersD_16P_President,White,
81,SteinburgD_16P_President,White,
82,WilsomD_16P_President,Black,
83,WolfeD_16P_President,White,
84,EdwardsJD_15G_Governor,White,
85,VitterR_15G_Governor,White,
86,HoldenD_15G_Lt. Governor,Black,
87,NungesserR_15G_Lt. Governor,White,
88,LandryR_15G_AG,White,
89,CaldwellR_15G_AG,White,
90,DeatonD_15P_Governor,White,
91,EdwardsJD_15P_Governor,White,
92,SimpsonD_15P_Governor,Black,
93,AngelleR_15P_Governor,White,
94,DardenneR_15P_Governor,White,
95,VitterR_15P_Governor,White,
96,BilliotNP_15P_Governor,Other,American Indian
97,OdomNP_15P_Governor,Black,
98,OrgeronO_15P_Governor,White,
99,HoldenD_15P_Lt. Governor,Black,
100,GuilloryR_15P_Lt. Governor,Black,
101,NungesserR_15P_Lt. Governor,White,
102,YoungR_15P_Lt. Governor,White,
103,TysonD_15P_SOS,Black,
104,SchedlerD_15P_SOS,White,
105,BaloneyD_15P_AG,Black,
106,JacksonD_15P_AG,Black,
107,CaldwellR_15P_AG,White,
108,LandryR_15P_AG,White,
109,MaleyR_15P_AG,White,
110,KennedyJR_15P_Treasurer,White,
111,TreadwayR_15P_Treasurer,White,
112,GreerD_15P_Ag Comm,White,
