Election,Type,Year,Election Set
19G_Governor,General,2019,19Governor
19P_Governor,Primary,2019,19Governor
19P_Lt_Governor,Primary,2019,19Lt_Governor
19P_Treasurer,Primary,2019,19Treasurer
19P_Ag_Comm,Primary,2019,19Ag_Comm
18G_SOS,General,2018,18SOS
18P_SOS,Primary,2018,18SOS
17G_Treasurer,General,2017,17Treasurer
17P_Treasurer,Primary,2017,17Treasurer
16G_US_Sen,General,2016,16US_Sen
16P_US_Sen,Primary,2016,16US_Sen
16P_President,Primary,2016,16_President
16G_President,General,2016,16_President
15P_Governor,Primary,2015,15_Governor
15G_Governor,General,2015,15_Governor
15P_SOS,Primary,2015,15_SOS
15P_Treasurer,Primary,2015,15_Treasurer
