,Index,GEOID,Seed1,Seed2,Seed3
0,0,10001,21,23,26
1,1,10002,21,23,26
2,2,10003,21,23,26
3,3,10004,21,23,26
4,4,10005,21,23,26
5,5,10006,21,23,26
6,6,10007,21,23,26
7,7,10008,21,23,26
8,8,10009,21,23,26
9,9,10010,21,23,26
10,10,10011,21,23,26
11,11,10013,21,23,26
12,12,10015,21,21,10
13,13,10016,9,21,10
14,14,10017,21,21,26
15,15,10018,9,21,10
16,16,10019,21,23,26
17,17,10020,21,23,26
18,18,10021,21,23,26
19,19,10022,13,23,26
20,20,10023,9,21,26
21,21,10024,13,23,26
22,2064,1131139,14,2,12
23,2066,1131141A,14,10,7
24,2068,1131300,11,10,7
25,2069,1131301,11,10,12
26,2070,1131302,14,2,12
27,2071,1131303,14,10,7
28,2072,1131304,11,10,12
29,2073,1131305,14,10,7
30,2074,1131307,14,10,12
31,2075,1131308A,11,10,12
32,2076,1131308B,14,10,12
33,2077,1131309,11,10,12
34,2078,1131310,11,10,12
35,2079,1131311,11,10,12
36,2080,1131312,11,10,12
37,2081,1131313,11,10,12
38,2082,1131314,11,10,12
39,2083,1131315,11,10,7
40,2084,1131316,11,10,12
41,2085,1131317,11,10,12
42,2098,1131707,14,2,7
43,2104,1131712B,14,2,12
44,2047,1131121,14,10,7
45,2111,1131719,14,2,7
46,2112,1131720,14,2,12
47,2120,1131728,14,2,7
48,2122,1131730,14,2,7
49,2050,1131125,11,10,7
50,2123,1131731,14,2,7
51,2051,1131126,14,2,7
52,2053,1131128,14,2,7
53,2463,1133406,11,10,12
54,2464,1133407,11,10,12
55,2058,1131133,14,10,7
56,2061,1131136,11,10,2
57,2062,1131137,14,10,7
58,2185,1132060,14,2,7
59,2186,1132061,14,2,7
60,2187,1132062,14,2,7
61,2190,1132065,14,2,7
62,2191,1132066,14,2,7
63,2192,1132067,14,2,7
64,2195,1132070,14,2,7
65,2041,1131115,11,10,7
66,2197,1132072,14,2,7
67,2198,1132073,14,2,7
68,5118,2132GBN,13,10,12
69,5120,2132PSN,13,10,26
70,5121,2132PSS,13,10,12
71,5122,2134NYL,9,21,10
72,2327,1133014,11,10,12
73,2328,1133015,11,10,12
74,8607,467001E,13,21,12
75,2393,1133079,11,10,12
76,2406,1133093,11,10,12
77,2441,1133302,11,2,12
78,2442,1133303,11,10,12
79,2443,1133304,11,10,12
80,2444,1133305,11,10,12
81,2445,1133306,11,10,12
82,2446,1133307,11,10,12
83,2447,1133308,11,10,12
84,2448,1133309,11,10,12
85,2449,1133310,11,10,12
86,2450,1133311,11,10,12
87,2451,1133312,11,10,12
88,2452,1133313,11,10,12
89,2453,1133314,11,10,12
90,2454,1133315,11,10,12
91,2455,1133316,11,10,12
92,2456,1133317,11,10,12
93,2457,1133318,11,10,12
94,2458,1133400,11,10,12
95,8603,467001A,13,21,12
96,8604,467001B,13,21,12
97,8605,467001C,13,21,12
98,2462,1133405,11,10,12
99,8606,467001D,13,21,12
100,2460,1133402,11,10,12
101,2461,1133404,11,10,12
102,2466,1133409,11,10,2
103,8609,467002B,13,10,12
104,8610,467002C,13,21,12
105,2469,1133500,11,10,12
106,2467,1133410,11,10,2
107,8611,467002D,13,10,12
108,8612,467003A,13,21,12
109,8608,467002A,13,10,12
110,2465,1133408,11,10,12
