,Index,GEOID,Seed1,Seed2,Seed3
0,0,10001,4,17,28
1,1,10002,4,17,28
2,2,10003,4,17,28
3,3,10004,4,17,28
4,4,10005,4,17,28
5,5,10006,4,17,28
6,6,10007,4,17,35
7,7,10008,4,17,28
8,8,10009,4,17,28
9,9,10010,4,17,35
10,10,10011,4,17,35
11,11,10013,4,17,28
12,12,10015,4,17,28
13,13,10016,4,28,28
14,14,10017,4,28,28
15,15,10018,4,28,35
16,16,10019,4,17,28
17,17,10020,4,17,35
18,18,10021,4,17,35
19,19,10022,4,17,35
20,20,10023,4,28,35
21,21,10024,4,17,35
22,2064,1131139,4,27,27
23,2066,1131141A,4,2,27
24,2068,1131300,4,27,27
25,2069,1131301,4,2,27
26,2070,1131302,4,27,27
27,2071,1131303,4,27,27
28,2072,1131304,4,27,27
29,2073,1131305,4,27,27
30,2074,1131307,4,27,30
31,2075,1131308A,4,27,27
32,2076,1131308B,4,27,27
33,2077,1131309,4,27,30
34,2078,1131310,4,27,27
35,2079,1131311,4,27,30
36,2080,1131312,4,27,30
37,2081,1131313,4,27,30
38,2082,1131314,4,27,30
39,2083,1131315,4,27,27
40,2084,1131316,4,27,27
41,2085,1131317,4,27,30
42,2098,1131707,4,27,27
43,2104,1131712B,4,27,27
44,2047,1131121,4,2,27
45,2111,1131719,4,27,27
46,2112,1131720,4,27,27
47,2120,1131728,4,27,27
48,2122,1131730,4,27,30
49,2050,1131125,4,2,27
50,2123,1131731,4,27,27
51,2051,1131126,4,2,30
52,2053,1131128,4,31,30
53,2058,1131133,4,2,30
54,2467,1133410,4,27,30
55,2061,1131136,4,30,11
56,2062,1131137,4,2,30
57,2185,1132060,4,2,30
58,2186,1132061,4,2,30
59,2187,1132062,4,2,30
60,5116,21304PF,4,28,35
61,2190,1132065,4,2,30
62,2191,1132066,4,2,30
63,2192,1132067,4,2,30
64,2195,1132070,4,2,30
65,2041,1131115,4,2,30
66,2197,1132072,4,2,30
67,2198,1132073,4,2,30
68,5120,2132PSN,4,28,35
69,5121,2132PSS,4,28,35
70,5122,2134NYL,4,28,11
71,2327,1133014,4,30,11
72,2328,1133015,4,30,11
73,8605,467001C,4,18,27
74,8606,467001D,4,18,27
75,8609,467002B,4,18,11
76,8610,467002C,4,18,11
77,8611,467002D,4,28,11
78,8612,467003A,4,18,27
79,2393,1133079,4,30,11
80,2406,1133093,4,30,11
81,2441,1133302,4,27,27
82,2442,1133303,4,27,27
83,2443,1133304,4,27,30
84,2444,1133305,4,27,30
85,2445,1133306,4,27,30
86,2446,1133307,4,27,30
87,2447,1133308,4,27,30
88,2448,1133309,4,27,30
89,2449,1133310,4,27,30
90,2450,1133311,4,27,27
91,2451,1133312,4,27,27
92,2452,1133313,4,27,27
93,2453,1133314,4,27,27
94,2454,1133315,4,27,30
95,2455,1133316,4,27,27
96,2456,1133317,4,30,11
97,2457,1133318,4,27,27
98,2458,1133400,4,27,30
99,8603,467001A,4,18,27
100,8604,467001B,4,18,27
101,2460,1133402,4,27,30
102,2461,1133404,4,27,30
103,8607,467001E,4,18,27
104,8608,467002A,4,18,11
105,2462,1133405,4,30,30
106,2463,1133406,4,27,30
107,2464,1133407,4,30,30
108,2465,1133408,4,30,30
109,8613,467003B,4,18,27
110,8614,467003C,4,18,27
111,8615,467003D,4,18,27
112,8616,467004A,4,18,27
113,8617,467004B,4,28,28
114,8618,467004C,4,28,28
115,2466,1133409,4,30,30
116,8620,467004E,4,28,28
117,2469,1133500,4,27,27
118,8619,467004D,4,28,28
119,2496,1133703,4,27,27
120,2507,1133920,4,30,11
121,2508,1133921,4,30,11
122,2511,1133940B,4,30,11
123,1489,730012,4,17,28
124,1490,730013,4,17,28
125,1491,730014,4,17,28
126,1492,730015,4,28,28
127,1493,730022,4,17,28
128,1494,730023,4,17,28
129,1495,730024,4,17,28
130,1496,730025,4,17,28
131,1497,730026,4,17,28
132,1498,730027,4,17,28
133,1499,730028,4,17,28
134,1500,730032,4,28,28
135,1501,730033,4,28,28
136,1502,730034,4,28,28
137,1503,730035,4,28,28
138,1504,730036,4,28,28
139,1505,730037,4,28,28
140,1506,730038,4,28,28
141,1507,730042,4,28,28
142,1508,730043,4,28,28
143,1509,730044,4,28,28
144,1510,730045,4,17,28
145,1511,730046,4,28,28
146,1512,730047,4,17,28
147,1513,730048,4,28,28
148,5802,2570001,4,18,11
149,5803,2570002,4,18,11
150,5804,2570003,4,27,27
151,5805,2570004,4,18,27
152,5806,2570005,4,18,27
153,5807,2570006,4,18,27
154,5808,2570007,4,18,27
155,5809,2570008,4,27,27
156,5810,2570009,4,18,11
157,5811,2570010,4,28,11
158,5812,2570011,4,18,27
159,5813,2570012,4,28,11
160,5814,2570013,4,18,27
161,5815,2570014,4,27,27
162,5816,2570015,4,28,11
163,5817,2570016,4,28,11
164,5818,2570017,4,28,11
165,5819,2570018,4,30,11
166,5820,2570019,4,18,27
167,5821,2570020,4,27,27
168,5822,2570021,4,18,11
169,5823,2570022,4,18,27
170,5824,2570023,4,18,11
171,5825,2570024,4,18,27
172,5826,2570025,4,27,27
173,5827,2570026,4,18,27
174,5828,2570027,4,27,27
175,5829,2570028,4,18,11
176,5830,2570029,4,30,11
177,5831,2570030,4,28,11
178,9040,49901-1,4,18,27
179,9041,49901-2,4,18,27
180,9042,49901-3,4,18,27
181,9043,49901-4,4,18,27
182,9045,49902-2,4,18,27
183,9046,49902-3,4,18,27
184,9052,49904-3,4,18,27
185,9053,49904-4,4,18,27
186,1926,1131000,4,2,30
187,1927,1131001,4,31,30
188,1928,1131002,4,31,30
189,1935,1131009,4,31,30
190,1937,1131011,4,2,30
191,1960,1131038,4,31,30
192,1961,1131039,4,31,30
193,1966,1131044,4,31,30
194,1967,1131045,4,2,30
195,1968,1131046,4,2,30
196,1969,1131047,4,2,30
197,1970,1131048,4,2,30
198,1971,1131049,4,2,30
199,1973,1131051,4,27,30
200,1974,1131052,4,2,30
201,1975,1131054,4,2,30
202,1976,1131055,4,2,30
203,1977,1131056,4,2,27
204,1978,1131057,4,2,27
205,1979,1131058,4,2,30
206,1980,1131059,4,2,30
207,1981,1131060,4,27,30
208,1982,1131061,4,2,27
209,1990,1131068,4,2,27
210,1998,1131075B,4,27,30
211,2000,1131077,4,2,30
212,2011,1131087B,4,27,30
213,5096,2130002,4,28,11
214,5097,2130003,4,28,11
215,5098,2130004,4,28,11
216,5099,213001A,4,28,11
217,5100,213001M,4,28,11
218,5101,213001T,4,28,35
219,5102,213002E,4,28,11
220,5103,213003B,4,28,11
221,5104,213003C,4,28,28
222,5105,213003M,4,28,11
223,5106,213003N,4,28,11
224,5107,213004A,4,28,11
225,2036,1131110,4,30,30
226,5108,213004W,4,28,11
227,5109,21301CR,4,28,11
228,5111,21301TC,4,28,35
229,5112,21303WS,4,28,28
230,5113,21304BV,4,28,28
231,5114,21304CC,4,28,28
232,5115,21304MS,4,28,11
233,5110,21301MN,4,28,35
234,5117,21304SE,4,28,11
235,5118,2132GBN,4,28,11
236,5119,2132GBS,4,28,35
237,22,30001,10,8,4
238,23,30002,10,8,4
239,24,30003,10,8,4
240,25,30004,10,8,4
241,8225,4510106,10,8,5
242,8226,4510107,10,8,5
