,Index,GEOID,Seed1,Seed2,Seed3
0,0,10001,4,20,15
1,1,10002,4,20,15
2,2,10003,4,20,15
3,3,10004,4,20,15
4,4,10005,4,20,15
5,5,10006,4,20,15
6,6,10007,4,18,15
7,7,10008,4,20,15
8,8,10009,4,18,15
9,9,10010,4,18,15
10,10,10011,4,18,15
11,11,10013,4,20,15
12,12,10015,4,20,15
13,13,10016,4,20,15
14,14,10017,4,20,20
15,15,10018,4,20,20
16,16,10019,4,18,15
17,17,10020,4,18,15
18,18,10021,4,18,15
19,19,10022,4,18,20
20,20,10023,4,18,20
21,21,10024,4,18,20
22,2064,1131139,4,34,31
23,2066,1131141A,4,34,26
24,2068,1131300,4,34,26
25,2069,1131301,4,34,26
26,2070,1131302,4,34,31
27,2071,1131303,4,34,26
28,2072,1131304,4,34,26
29,2073,1131305,4,34,26
30,2074,1131307,4,34,26
31,2075,1131308A,4,34,26
32,2076,1131308B,4,34,26
33,2077,1131309,4,34,26
34,2078,1131310,4,34,26
35,2079,1131311,4,33,21
36,2080,1131312,4,33,21
37,2081,1131313,4,33,21
38,2082,1131314,4,33,21
39,2083,1131315,4,34,26
40,2084,1131316,4,34,26
41,2085,1131317,4,34,21
42,2098,1131707,4,34,31
43,2104,1131712B,4,34,31
44,2047,1131121,4,34,26
45,2111,1131719,4,34,31
46,2112,1131720,4,34,31
47,2120,1131728,4,34,31
48,2122,1131730,4,34,26
49,2050,1131125,4,34,26
50,2123,1131731,4,34,26
51,2051,1131126,4,34,26
52,2053,1131128,4,34,26
53,2058,1131133,4,33,26
54,2467,1133410,4,33,21
55,2061,1131136,4,33,21
56,2062,1131137,4,34,26
57,2185,1132060,4,34,26
58,2186,1132061,4,34,26
59,2187,1132062,4,34,26
60,5116,21304PF,4,18,20
61,2190,1132065,4,34,26
62,2191,1132066,4,34,26
63,2192,1132067,4,34,26
64,2195,1132070,4,34,26
65,2041,1131115,4,34,26
66,2197,1132072,4,33,26
67,2198,1132073,4,34,26
68,5120,2132PSN,4,29,21
69,5121,2132PSS,4,29,21
70,5122,2134NYL,4,18,20
71,2327,1133014,4,33,21
72,2328,1133015,4,33,21
73,8605,467001C,4,29,21
74,8606,467001D,4,20,21
75,8609,467002B,4,20,20
76,8610,467002C,4,20,20
77,8611,467002D,4,29,20
78,8612,467003A,4,29,21
79,2393,1133079,4,33,21
80,2406,1133093,4,33,21
81,2441,1133302,4,34,31
82,2442,1133303,4,34,21
83,2443,1133304,4,33,21
84,2444,1133305,4,33,21
85,2445,1133306,4,33,21
86,2446,1133307,4,33,21
87,2447,1133308,4,33,21
88,2448,1133309,4,33,21
89,2449,1133310,4,33,21
90,2450,1133311,4,33,21
91,2451,1133312,4,33,21
92,2452,1133313,4,33,21
93,2453,1133314,4,33,21
94,2454,1133315,4,33,21
95,2455,1133316,4,33,21
96,2456,1133317,4,33,21
97,2457,1133318,4,33,21
98,2458,1133400,4,33,21
99,8603,467001A,4,29,21
100,8604,467001B,4,29,21
101,2460,1133402,4,33,21
102,2461,1133404,4,33,21
103,8607,467001E,4,20,21
104,8608,467002A,4,29,21
105,2462,1133405,4,33,21
106,2463,1133406,4,33,21
107,2464,1133407,4,33,21
108,2465,1133408,4,33,21
109,8613,467003B,4,29,21
110,8614,467003C,4,29,21
111,8615,467003D,4,29,21
112,8616,467004A,4,20,20
113,8617,467004B,4,20,20
114,8618,467004C,4,29,21
115,2466,1133409,4,33,21
116,8620,467004E,4,20,20
117,2469,1133500,4,33,21
118,8619,467004D,4,20,20
119,2496,1133703,4,34,31
120,2507,1133920,4,33,21
121,2508,1133921,4,33,21
122,2511,1133940B,4,33,21
123,1489,730012,4,20,15
124,1490,730013,4,20,15
125,1491,730014,4,20,15
126,1492,730015,4,20,15
127,1493,730022,4,20,15
128,1494,730023,4,20,15
129,1495,730024,4,20,15
130,1496,730025,4,20,15
131,1497,730026,4,20,15
132,1498,730027,4,20,15
133,1499,730028,4,20,15
134,1500,730032,4,20,15
135,1501,730033,4,20,15
136,1502,730034,4,20,15
137,1503,730035,4,20,15
138,1504,730036,4,20,15
139,1505,730037,4,20,15
140,1506,730038,4,20,15
141,1507,730042,4,20,15
142,1508,730043,4,20,15
143,1509,730044,4,20,15
144,1510,730045,4,20,15
145,1511,730046,4,20,15
146,1512,730047,4,20,15
147,1513,730048,4,20,15
148,5802,2570001,4,29,21
149,5803,2570002,4,29,21
150,5804,2570003,4,13,21
151,5805,2570004,4,13,21
152,5806,2570005,4,29,21
153,5807,2570006,4,29,21
154,5808,2570007,4,13,21
155,5809,2570008,4,13,21
156,5810,2570009,4,29,21
157,5811,2570010,4,29,21
158,5812,2570011,4,13,21
159,5813,2570012,4,29,21
160,5814,2570013,4,13,21
161,5815,2570014,4,13,21
162,5816,2570015,4,29,21
163,5817,2570016,4,29,21
164,5818,2570017,4,29,21
165,5819,2570018,4,29,21
166,5820,2570019,4,13,21
167,5821,2570020,4,13,21
168,5822,2570021,4,29,21
169,5823,2570022,4,29,21
170,5824,2570023,4,29,21
171,5825,2570024,4,13,21
172,5826,2570025,4,13,21
173,5827,2570026,4,13,21
174,5828,2570027,4,33,21
175,5829,2570028,4,29,21
176,5830,2570029,4,33,21
177,5831,2570030,4,29,21
178,9040,49901-1,4,29,20
179,9041,49901-2,4,29,20
180,9042,49901-3,4,29,20
181,9043,49901-4,4,29,20
182,9045,49902-2,4,29,20
183,9046,49902-3,4,29,20
184,9052,49904-3,4,20,20
185,9053,49904-4,4,29,20
186,1926,1131000,4,34,26
187,1927,1131001,4,34,26
188,1928,1131002,4,34,26
189,1935,1131009,4,34,26
190,1937,1131011,4,34,26
191,1960,1131038,4,34,31
192,1961,1131039,4,34,31
193,1966,1131044,4,34,26
194,1967,1131045,4,34,26
195,1968,1131046,4,34,26
196,1969,1131047,4,34,26
197,1970,1131048,4,34,26
198,1971,1131049,4,34,26
199,1973,1131051,4,33,26
200,1974,1131052,4,34,26
201,1975,1131054,4,34,26
202,1976,1131055,4,34,26
203,1977,1131056,4,34,26
204,1978,1131057,4,34,26
205,1979,1131058,4,34,26
206,1980,1131059,4,34,26
207,1981,1131060,4,33,26
208,1982,1131061,4,34,26
209,1990,1131068,4,34,26
210,1998,1131075B,4,33,26
211,2000,1131077,4,33,26
212,2011,1131087B,4,34,21
213,5096,2130002,4,18,21
214,5097,2130003,4,18,20
215,5098,2130004,4,18,20
216,5099,213001A,4,29,21
217,5100,213001M,4,29,20
218,5101,213001T,4,29,21
219,5102,213002E,4,29,21
220,5103,213003B,4,18,20
221,5104,213003C,4,20,20
222,5105,213003M,4,18,20
223,5106,213003N,4,18,20
224,5107,213004A,4,18,20
225,2036,1131110,4,33,21
226,5108,213004W,4,18,20
227,5109,21301CR,4,29,20
228,5111,21301TC,4,29,21
229,5112,21303WS,4,20,20
230,5113,21304BV,4,20,15
231,5114,21304CC,4,20,15
232,5115,21304MS,4,20,20
233,5110,21301MN,4,18,21
234,5117,21304SE,4,18,20
235,5118,2132GBN,4,29,21
236,5119,2132GBS,4,29,21
237,22,30001,10,19,30
238,23,30002,10,19,30
239,24,30003,10,19,30
240,25,30004,10,19,30
241,8225,4510106,10,21,9
242,8226,4510107,10,21,9
243,8227,4510108,10,21,9
244,8228,4510112,10,21,9
245,8229,4510114,10,21,9
246,8230,4510124,10,21,9
247,8231,4510137,10,21,9
248,8232,4510144,10,21,9
249,8233,4510146,10,21,9
250,8234,4510213,10,21,9
251,8235,4510215,10,21,9
252,8236,4510225,10,21,9
253,8237,4510228,10,21,9
254,8238,4510230,10,21,9
255,8239,4510241,10,21,9
256,8240,4510304,10,21,9
257,8241,4510305,10,21,9
258,8242,4510306,10,21,9
259,8243,4510308,10,21,9
260,8244,4510319,10,21,9
261,8245,4510327,10,21,9
262,8246,4510348,10,21,9
263,8247,4510351,10,21,9
264,8248,4510358,10,21,9
265,8249,4510401,10,21,9
266,8250,4510402,10,21,9
267,8251,4510420,10,21,9
268,8252,4510421,10,21,9
269,8253,4510422,10,21,9
270,8254,4510423,10,21,9
271,8255,4510424,10,21,9
272,8256,4510434,10,21,9
273,8257,4510435,10,21,9
274,8258,4510436,10,21,9
275,6236,3070101,10,21,9
276,6237,3070102,10,21,9
277,6238,3070201A,10,21,33
278,6239,3070201B,10,21,33
279,6240,3070202,10,21,33
280,6241,3070301,10,21,9
281,6242,3070302,10,21,9
282,6243,3070401,10,21,33
283,6244,3070402,10,21,9
284,6245,3070403,10,21,9
285,6357,3170001,10,19,30
286,6358,3170002,10,21,30
287,6359,3170003,10,19,30
288,6360,3170004,10,19,30
289,6361,317003A,10,19,30
290,6362,317004A,10,19,30
291,6363,3190101,10,21,33
292,6364,3190210,10,1,33
293,6365,3190302,10,21,33
294,6366,3190405,10,1,33
295,6415,3270001,10,21,9
296,6416,3270002,10,21,9
297,6417,3270003,10,21,9
298,6418,3270004,10,21,9
299,6419,3270005,10,21,33
300,6420,3270006,10,21,33
301,6421,3290101A,10,19,30
302,6422,3290101B,10,19,30
303,6423,3290102,10,19,30
304,6424,3290103,10,19,30
305,6425,3290104,10,19,30
306,6426,3290105,10,19,30
307,6427,3290106,10,19,30
308,6428,3290107,10,19,30
309,6429,3290108,10,19,30
310,6430,3290109,10,19,30
311,6431,3290110,10,19,30
312,6432,3290201,10,19,30
313,6433,3290202,10,19,30
314,6434,3290203,10,19,30
315,6435,3290204,10,19,30
316,6436,3290205,10,19,30
317,6437,3290206,10,19,30
318,6438,3290207,10,19,30
319,6439,3290208,10,19,30
320,6440,3290210,10,19,30
321,6441,3290211,10,19,30
322,6442,3290212,10,19,30
323,6443,3290302,10,19,30
324,6444,3290303,10,19,30
325,6445,3290304,10,19,30
326,6446,3290305,10,19,30
327,6447,3290306,10,19,30
328,6448,3290307,10,19,30
329,6449,3290308,10,19,30
330,6450,3290309,10,19,30
331,6451,3290310,10,19,30
332,6452,3290401,10,19,30
333,6453,3290402,10,19,30
334,6454,3290403,10,19,30
335,6455,3290404,10,19,30
336,6456,3290405,10,19,30
337,6457,3290406,10,19,30
338,6458,3290407,10,19,30
339,6459,3290408,10,19,30
340,6460,3290409,10,19,30
341,6461,3290410,10,19,30
342,6462,3290411,10,19,30
343,6463,329108A,10,19,30
344,6464,329109A,10,19,30
345,6465,329307A,10,19,30
346,6466,329309A,10,19,30
347,6467,329402A,10,19,30
348,6479,3330001,10,21,33
349,6480,3330002,10,7,33
350,6481,3330003,10,7,33
351,6482,3330006,10,7,33
352,6483,3330008,10,21,33
353,6484,3330009,10,21,33
354,6485,3330011,10,21,33
355,6486,3350001,10,32,9
356,6487,3350002,10,32,30
357,6488,3350003,10,21,9
358,6489,3350004,10,21,9
359,6490,3350025,10,32,30
360,6491,3350046,10,21,9
361,5431,2210005,10,7,6
362,2753,1150001,10,19,30
363,2754,1150002,10,19,30
364,2755,1150003,10,19,30
365,2756,1150004,10,19,30
366,2757,1150005,10,19,30
367,2758,1150011,10,19,30
368,2759,1150012,10,19,30
369,2760,1150013,10,19,30
370,2761,1150017,10,19,30
371,6902,3630001,10,21,32
372,6903,3630002,10,21,32
373,6904,3630003,10,21,32
374,6905,3630004,10,21,32
375,6906,3630005,10,21,32
376,6907,3630006,10,21,32
377,6908,3630007,10,21,32
378,6909,3630008,10,21,32
379,6910,3630009,10,21,32
380,6911,3630011,10,21,32
381,6912,3630012,10,7,32
382,6913,3630013,10,21,32
383,6914,3630014,10,21,32
384,6915,3630015,10,21,32
385,6916,3630016,10,21,32
386,6917,3630017,10,7,32
387,6918,3630018,10,21,32
388,6919,3630020,10,21,32
389,6920,3630021,10,7,32
390,6921,3630022,10,21,32
391,6922,3630023,10,7,32
392,6923,3630024,10,7,32
393,6924,3630025,10,7,32
394,6925,3630026,10,7,32
395,6926,3630027,10,21,32
396,6927,3630028,10,21,32
397,6928,3630029,10,7,32
398,6929,3630030,10,7,32
399,3003,1330001,10,21,9
400,3004,1330002,10,21,9
401,3005,1330003,10,21,32
402,3006,1330004,10,21,9
403,3007,1330005,10,21,9
404,3008,1330006,10,21,9
405,3009,1330007,10,21,9
406,3010,1330008,10,21,9
407,3011,1330009,10,21,9
408,3012,1350101,10,19,30
409,3013,1350102,10,19,30
410,3014,1350103,10,19,30
411,3015,1350104,10,19,30
412,3016,1350106,10,19,30
413,3017,1350107,10,19,30
414,3018,1350108,10,19,30
415,3019,1350109,10,19,30
416,3020,1350110,10,19,30
417,3021,1350111,10,19,30
418,3022,1350201,10,19,30
419,3023,1350202,10,19,30
420,3024,1350203,10,19,30
421,3025,1350204,10,19,30
422,3026,1350205,10,19,30
423,3027,1350206,10,19,30
424,3028,1350207,10,19,30
425,3029,1350208,10,19,30
426,3030,1350209,10,19,30
427,3031,1350301,10,19,30
428,3032,1350302,10,19,30
429,3033,1350303,10,19,30
430,3034,1350304,10,19,30
